,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
9346,8684,3052290083.0,,3052290083,3120964,2720,FOSTER AVENUE,Brooklyn,11210.0,Filed,71.5,71.2,114.2,113.8,73.53,Yes,ABS,Not Available,266.3,172.6,93.7,61575,53544.0,Multifamily Housing,1.0,40.638459000000005,-73.95087099999999,14.0,45.0,788.0,3120964.0,Flatbush                                                                   
10311,9586,3079300001.0,,3-07930-0001,3321115;3321117;3321118;3321120;3321121;3804926;3321119;3321116,5407,KINGS HIGHWAY,Brooklyn,11203.0,Filed,102.2,101.3,139.1,138.1,Not Available,No,None,Not Available,1162.3,917.1,245.2,198500,195000.0,Multifamily Housing,7.0,40.640879999999996,-73.9256,17.0,45.0,94401.0,3321121.0,Flatlands                                                                  
14669,14722,5012560092.0,,,,82,DAVIDSON STREET,Staten Island,10303.0,No Submission Matched to BBL,,,,,,No,None,,,,,,58000.0,,1.0,40.635287,-74.16381899999999,1.0,49.0,31902.0,5107184.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
8886,8128,3030260001.0,Secondary,3030240001;3030250046;3030250070;3030260001;3030270001,3070826;3327878;3327879;3327881;3327882;3327883;3327884;3327887;3327888;3327889;3338398;3338402;3344259;3344926;3344948;3344971;3344974;3344982;3344992;3344998;3345008,202,GRAHAM AVENUE,Brooklyn,11206.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,339148.0,,6.0,40.708878999999996,-73.943443,1.0,34.0,493.0,3344974.0,Bushwick South                                                             
13865,12325,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,28.4,27.9,46,45.5,Not Available,,,Not Available,119.2,82.7,36.5,55037,,Multifamily Housing,,,,,,,,
13400,10581,4023190010.0,,4023190010,Not Available,47-50,59 STREET,Queens,11377.0,Filed,87.6,85.9,108.9,107.3,Not Available,No,None,Not Available,1568.7,1383,185.7,239190,239190.0,Multifamily Housing,2.0,,,,,,,
936,1065,1007850067.0,,1-00785-0067,1014434,242,WEST   36 STREET,Manhattan,10018.0,Filed,43.7,43.6,105,105,Not Available,No,None,95,633.3,208.3,425,183000,152667.0,Office,1.0,40.752811,-73.990973,5.0,3.0,109.0,1014434.0,Midtown-Midtown South                                                      
11686,10785,4033220135.0,,4-03322-0135,4079401,118-11,84 AVENUE,Queens,11415.0,Filed,44.5,44.5,52.4,52.4,Not Available,No,Manual,Not Available,495.7,452.9,42.8,150000,150000.0,Multifamily Housing,1.0,,,,,,,
14311,14068,3067320045.0,,,,1215,AVENUE M,Brooklyn,11230.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,73080.0,,1.0,40.617709999999995,-73.962582,14.0,44.0,768.0,3180612.0,Midwood                                                                    
1370,1567,1008600074.0,,1008600074,1016980,12,EAST   31 STREET,Manhattan,10016.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,63967,63967.0,Hotel,1.0,40.746212,-73.985203,5.0,4.0,74.0,1016980.0,Midtown-Midtown South                                                      
